False Positive Rate 0,True Positive Rate 0,False Positive Rate 1,True Positive Rate 1,False Positive Rate 2,True Positive Rate 2,False Positive Rate 3,True Positive Rate 3,False Positive Rate 4,True Positive Rate 4,False Positive Rate 5,True Positive Rate 5,False Positive Rate 6,True Positive Rate 6,False Positive Rate 7,True Positive Rate 7,False Positive Rate 8,True Positive Rate 8,False Positive Rate 9,True Positive Rate 9,False Positive Rate mean,True Positive Rate mean
0.008403361344537815,0.2727272727272727,0.0038197097020626434,0.2727272727272727,0.0038461538461538464,0.2830188679245283,0.006153846153846154,0.20754716981132076,0.008409785932721712,0.18181818181818182,0.007668711656441718,0.3333333333333333,0.003834355828220859,0.3333333333333333,0.006885998469778117,0.3333333333333333,0.003849114703618168,0.2641509433962264,0.0076103500761035,0.21052631578947367,0.1,0.620354081646038
0.008403361344537815,0.29545454545454547,0.0038197097020626434,0.29545454545454547,0.0038461538461538464,0.32075471698113206,0.007692307692307693,0.20754716981132076,0.008409785932721712,0.20454545454545456,0.009969325153374233,0.3333333333333333,0.004601226993865031,0.3541666666666667,0.0076511094108645756,0.3333333333333333,0.004618937644341801,0.2830188679245283,0.0076103500761035,0.2631578947368421,0.11,0.6364718823454673
0.0106951871657754,0.29545454545454547,0.0053475935828877,0.29545454545454547,0.005384615384615384,0.32075471698113206,0.007692307692307693,0.24528301886792453,0.009174311926605505,0.20454545454545456,0.009969325153374233,0.3541666666666667,0.004601226993865031,0.375,0.0076511094108645756,0.35555555555555557,0.005388760585065435,0.2830188679245283,0.0076103500761035,0.2894736842105263,0.12,0.6591721815826125
0.0106951871657754,0.3181818181818182,0.006111535523300229,0.3181818181818182,0.005384615384615384,0.33962264150943394,0.010769230769230769,0.24528301886792453,0.009174311926605505,0.22727272727272727,0.010736196319018405,0.3541666666666667,0.004601226993865031,0.4166666666666667,0.008416220351951033,0.37777777777777777,0.005388760585065435,0.32075471698113206,0.00837138508371385,0.2894736842105263,0.13,0.6751819490175436
0.01145912910618793,0.3181818181818182,0.008403361344537815,0.3181818181818182,0.006153846153846154,0.3584905660377358,0.010769230769230769,0.2641509433962264,0.013761467889908258,0.22727272727272727,0.012269938650306749,0.3541666666666667,0.004601226993865031,0.4375,0.010711553175210406,0.37777777777777777,0.006158583525789068,0.32075471698113206,0.00837138508371385,0.3157894736842105,0.14,0.6809409377882372
0.012987012987012988,0.3409090909090909,0.009931245225362872,0.3181818181818182,0.006153846153846154,0.37735849056603776,0.01769230769230769,0.2641509433962264,0.01529051987767584,0.25,0.012269938650306749,0.4166666666666667,0.006901840490797546,0.4375,0.01224177505738332,0.4222222222222222,0.006158583525789068,0.3584905660377358,0.01141552511415525,0.3157894736842105,0.15,0.6923256194037245
0.012987012987012988,0.36363636363636365,0.0106951871657754,0.4090909090909091,0.007692307692307693,0.37735849056603776,0.019230769230769232,0.2641509433962264,0.016055045871559634,0.25,0.015337423312883436,0.4166666666666667,0.006901840490797546,0.4791666666666667,0.01224177505738332,0.4444444444444444,0.007698229407236336,0.3584905660377358,0.01141552511415525,0.34210526315789475,0.16,0.7020041194665296
0.013750954927425516,0.4090909090909091,0.012987012987012988,0.4090909090909091,0.007692307692307693,0.39622641509433965,0.019230769230769232,0.2830188679245283,0.016819571865443424,0.2727272727272727,0.016104294478527608,0.4375,0.007668711656441718,0.4791666666666667,0.019892884468247895,0.4444444444444444,0.007698229407236336,0.37735849056603776,0.01293759512937595,0.34210526315789475,0.17,0.7084117008158152
0.014514896867838044,0.4318181818181818,0.013750954927425516,0.4318181818181818,0.008461538461538461,0.39622641509433965,0.02,0.2830188679245283,0.017584097859327217,0.2727272727272727,0.01763803680981595,0.4375,0.007668711656441718,0.5208333333333334,0.02142310635042081,0.4444444444444444,0.008468052347959968,0.37735849056603776,0.01293759512937595,0.39473684210526316,0.18,0.714251154459473
0.01833460656990069,0.4318181818181818,0.014514896867838044,0.4318181818181818,0.008461538461538461,0.41509433962264153,0.02,0.32075471698113206,0.019877675840978593,0.2727272727272727,0.019171779141104295,0.4375,0.009969325153374233,0.5208333333333334,0.02218821729150727,0.4666666666666667,0.008468052347959968,0.39622641509433965,0.0167427701674277,0.39473684210526316,0.19,0.7218060640724028
0.019098548510313215,0.45454545454545453,0.015278838808250574,0.45454545454545453,0.009230769230769232,0.41509433962264153,0.023076923076923078,0.32075471698113206,0.02217125382262997,0.2727272727272727,0.019171779141104295,0.4583333333333333,0.009969325153374233,0.5416666666666666,0.022953328232593728,0.4666666666666667,0.009237875288683603,0.41509433962264153,0.0167427701674277,0.42105263157894735,0.2,0.72566227949613
0.0213903743315508,0.45454545454545453,0.01757066462948816,0.45454545454545453,0.009230769230769232,0.4339622641509434,0.023846153846153847,0.32075471698113206,0.023700305810397553,0.29545454545454547,0.02223926380368098,0.4583333333333333,0.010736196319018405,0.5416666666666666,0.023718439173680182,0.4888888888888889,0.009237875288683603,0.4528301886792453,0.01750380517503805,0.42105263157894735,0.21,0.7355772094779356
